Rank;Företag;Postadress;Omsättning (tkr);Anställda
301;Smart Retur Sverige AB;422 46 Hisings Backa;418897;27
302;Protective System Svenska Productions AB;421 31 Västra Frölunda;416799;62
303;HiQ Göteborg AB;411 09 Göteborg;416357;295
304;Pagero AB;411 17 Göteborg;414923;319
305;Aleido Sweden AB;417 55 Göteborg;414611;289
306;Forsman & Bodenfors AB;411 21 Göteborg;414123;143
307;Awardit CLS AB;415 11 Göteborg;413129;73
308;ALBIS Nordics & Baltics AB;411 06 Göteborg;410328;17
309;Nordic Crane AB;417 30 Göteborg;408013;0
310;DFDS Logistics Services AB;418 79 Göteborg;407281;253
311;StrongPoint AB;421 32 Västra Frölunda;405509;93
312;H.A. Bygg Entreprenad AB;412 50 Göteborg;401104;90
313;Gatu och Väg Väst AB;424 57 Gunnilse;400013;77
314;Byggfokus Väst Entreprenad AB;418 34 Göteborg;399748;31
315;ITS Independent Transport & Shipping AB;411 18 Göteborg;396588;45
316;HTE Produktion AB;423 37 Torslanda;389626;84
317;Northern Energy & Supply AB;426 58 Västra Frölunda;387777;16
318;ByWe AB;421 32 Västra Frölunda;387264;83
319;SVITZER Sverige AB;426 71 Västra Frölunda;385817;25
320;Dr. Oetker Sverige AB;412 51 Göteborg;384892;20
321;Salinity AB;412 63 Göteborg;381234;30
322;Medpro Clinic Group AB;413 30 Göteborg;380205;223
323;SYSTRA AB;411 02 Göteborg;378429;278
324;PMC Hydraulics AB;436 34 Askim;378020;48
325;Gustaf Fagerberg AB;426 52 Västra Frölunda;377262;64
326;ProfilEvents AB;412 54 Göteborg;376865;240
327;Lundgrens Sverige AB;436 32 Askim;375663;131
328;Gryaab AB;418 34 Göteborg;373620;129
329;Inter Terminals Sweden AB;418 34 Göteborg;369282;75
330;Hotellet i Höghuset AB;412 50 Göteborg;369242;301
331;Aixia AB;414 63 Göteborg;367813;40
332;KRAHN Nordics AB;422 46 Hisings Backa;366075;20
333;Powercell Sweden AB (publ);418 34 Göteborg;365274;106
334;Autoneum Sweden AB;418 79 Göteborg;364597;41
335;IDNet AB;412 63 Göteborg;360017;71
336;Hofås Specerihandel AB;436 53 Hovås;358064;72
337;OrangeGas Sverige AB;416 64 Göteborg;356949;10
338;Asics Sverige AB;416 64 Göteborg;356861;18
339;Balder Järnvågen Utveckling AB;411 38 Göteborg;354549;0
340;Nudie Jeans Marketing AB;411 17 Göteborg;353171;75
341;Norra Älvstrandens Stormarknad AB;417 58 Göteborg;353115;69
342;B. Engelhardt & Co AB;421 21 Västra Frölunda;352709;60
343;Plint AB;411 18 Göteborg;351292;59
344;SafeTeam i Sverige AB;417 03 Göteborg;350514;142
345;DFDS Logistics Contracts AB;418 34 Göteborg;350473;211
346;Hotel Posthuset AB;411 03 Göteborg;347672;219
347;Malövikens Mat AB;424 22 Angered;345931;61
348;Nordiska VA Teknik AB;425 36 Hisings Kärra;345699;76
349;Bohus Städ Patric Svensson AB;422 46 Hisings Backa;340340;391
350;SOIC Global Trading AB;413 27 Göteborg;340142;3
351;Volvo Car Retail Solutions AB;Göteborg;339376;0
352;Transportören AB;417 05 Göteborg;337838;45
353;NTI Sweden AB;412 50 Göteborg;337271;80
354;Sesami Cash Management Tech Nordic AB;436 34 Askim;336801;58
355;Idrottens Bingo i Göteborg AB;411 16 Göteborg;335950;93
356;ECARX Sweden AB;417 55 Göteborg;333140;53
357;Ventab i Göteborg AB;436 32 Askim;333029;72
358;JO Food AB;414 51 Göteborg;332478;4
359;Gryning Vård AB;416 67 Göteborg;330484;258
360;VinnGroup AB;411 05 Göteborg;330170;4
361;Tm2 Bygg AB;417 30 Göteborg;329465;8
362;Göteborgs Scandi Bulk AB;411 25 Göteborg;328559;27
363;Göteborgs Orienthus AB;415 02 Göteborg;328118;60
364;Humphree AB;417 05 Göteborg;327703;58
365;Capio Sjukvård AB;405 22 Göteborg;327000;183
366;Castellum AB;411 09 Göteborg;325000;123
367;Powerpipe Systems AB;425 65 Hisings Kärra;324974;63
368;SKG Göteborg AB;415 02 Göteborg;323831;29
369;Mega i Gårda AB;412 51 Göteborg;322302;78
370;Primär Fastighetsförvaltning AB;417 05 Göteborg;319936;179
371;Göteborg Mark & Betong Entreprenad AB;418 34 Göteborg;319293;27
372;CEVA Air & Ocean Sweden AB;411 03 Göteborg;319084;44
373;Jakobsdals Charkuteri AB;415 02 Göteborg;318653;100
374;Out of Home AB;415 11 Göteborg;318556;25
375;Dometic Scandinavia AB;421 31 Västra Frölunda;316472;42
376;ifm electronic AB;412 50 Göteborg;314100;45
377;DevPort Väst AB;417 55 Göteborg;313702;107
378;Frontbilar i Göteborg AB;425 37 Hisings Kärra;312732;22
379;UTC Restauranger AB;421 48 Västra Frölunda;309332;240
380;RK Travel Group AB;411 03 Göteborg;309041;28
381;AddSecure Smart Transport AB;411 04 Göteborg;308193;50
382;Sardonyx 10 AB;Göteborg;307083;0
383;Nordlo Improve AB;417 55 Göteborg;304839;158
384;J. Ungerth AB;436 34 Askim;304342;2
385;IBI International AB;413 30 Göteborg;303748;9
386;Abion AB;411 15 Göteborg;303366;93
387;BHS Logistics AB;415 02 Göteborg;303122;24
388;Movant AB;416 64 Göteborg;302644;204
389;Axalta Coating Systems Sweden AB;436 32 Askim;302387;59
390;Tuveon Capital AB;402 75 Göteborg;301307;0
391;;;;
392;;;;
393;;;;
394;;;;
395;;;;
396;;;;
397;;;;
398;;;;
399;;;;
400;;;;
401;Gunnebo Safe Storage AB;Göteborg;281385;21
402;AB Malte Gustavsson Frukt & Bär;411 04 Göteborg;281382;23
403;YSB AB;412 50 Göteborg;279822;204
404;CMJ Högfors Göteborg AB;411 04 Göteborg;278270;51
405;Göteborg – Styrsö Skärgårdstrafik AB;426 76 Västra Frölunda;277507;120
406;Karaten Bygg Väst AB;415 02 Göteborg;277019;133
407;HaleyTek AB;417 55 Göteborg;276668;87
408;Hydroscand Automotive AB;418 34 Göteborg;276054;77
409;Pagero Sverige AB;411 17 Göteborg;274469;28
410;Hotel AB Bastionen;411 06 Göteborg;273310;126
411;Nordicon AB;413 27 Göteborg;272835;68
412;Sweden Seafood AB;414 51 Göteborg;272262;23
413;Geely Europe Innovation & Collab AB;417 55 Göteborg;272063;93
414;Sjövalla Byggservice AB;422 59 Hisings Backa;271444;66
415;Hoyer Svenska AB;417 60 Göteborg;269997;10
416;Seldén Mast AB;426 77 Västra Frölunda;269992;97
417;We Construction Göteborg AB;436 32 Askim;269859;7
418;Balder Projektutveckling AB;Göteborg;269679;0
419;RDSTR IP 2 AB;417 70 Göteborg;268734;0
420;Telko Sweden AB;421 31 Västra Frölunda;267038;27
421;Reed & Mackay Sverige AB;411 04 Göteborg;266393;64
422;Got Event AB;411 40 Göteborg;266370;235
423;BIC Nordic AB;421 31 Västra Frölunda;266332;20
424;Terumo Sweden AB;426 71 Västra Frölunda;265616;30
425;KWANG MYUNG AB;414 63 Göteborg;265154;5
426;AB Platzer Arendal 1:32;411 04 Göteborg;264854;0
427;Sirius Agency AB;426 58 Västra Frölunda;264612;9
428;Swegon Group AB;421 30 Västra Frölunda;264419;84
429;Nordic Express AB;436 34 Askim;263219;13
430;Capio Lundby Sjukhus AB;417 39 Göteborg;261414;183
431;Göteborgs Symfoniker AB;412 56 Göteborg;261251;196
432;EDAG Engineering Scandinavia AB;417 64 Göteborg;260552;85
433;Burgsvik Kulturrestauranger AB;436 32 Askim;259805;172
434;N.C. Nielsen AB;417 05 Göteborg;259576;12
435;Tvinnesheda Energi AB;411 20 Göteborg;258966;0
436;Wicote Entreprenad AB;418 78 Göteborg;258773;63
437;Maersk Sverige AB;411 04 Göteborg;258580;190
438;Alucrom AB;418 78 Göteborg;258407;72
439;IHM Business School AB;412 50 Göteborg;258231;97
440;Direkt Chark i Göteborg AB;415 05 Göteborg;257509;61
441;Ecoride AB;418 79 Göteborg;256320;55
442;Göteborgs Köpmannakonsult AB;411 37 Göteborg;256277;1
443;Avinode AB;411 17 Göteborg;256123;73
444;Magnussons Fisk AB;414 58 Göteborg;254996;36
445;Hecksher Linieagenturer AB;402 31 Göteborg;254626;29
446;Hi-Fi Klubben Sverige AB;412 52 Göteborg;251297;53
447;Nexer Tech Talent AB;417 56 Göteborg;250837;286
448;Motorit AB;421 32 Västra Frölunda;250639;69
449;Sigma Sweden Software AB;417 56 Göteborg;250632;11
450;Alrik Hedlund Huvudkontor AB;412 83 Göteborg;250439;58
451;Tele-Radio i Lysekil AB;421 32 Västra Frölunda;250383;43
452;Liljewall Arkitekter AB;411 02 Göteborg;250126;225
453;Hasten 23H AB;Göteborg;250110;0
454;BAB Rörtryckning AB;422 46 Hisings Backa;248944;88
455;TYRI Sweden AB;417 05 Göteborg;246291;54
456;Getinge AB (publ);417 56 Göteborg;246000;80
457;Segula Technologies AB;413 29 Göteborg;245922;170
458;Axactor Sweden AB;411 06 Göteborg;245176;29
459;J.A. Sundqvist AB;423 37 Torslanda;244980;49
460;GöteborgsLokaler Förvaltnings AB;412 51 Göteborg;244700;51
461;Selected Brands Nordic AB;411 07 Göteborg;244631;16
462;Setterwalls Advokatbyrå Göteborg AB;411 05 Göteborg;244568;91
463;Aroma Frukt & Grönt AB;422 46 Hisings Backa;243542;39
464;Transatlantic Project & Contract Cargoes AB;414 51 Göteborg;243118;0
465;Toll Global Forwarding AB;412 63 Göteborg;242384;47
466;Liftexperten Sverige AB;426 52 Västra Frölunda;241927;23
467;Gårdstensbostäder AB;424 41 Angered;240981;38
468;Newbody AB;436 33 Askim;240230;47
469;Capio Sverige AB;411 04 Göteborg;240115;80
470;Brightmedia Agency AB;414 51 Göteborg;239105;15
471;Sleep Cycle AB (publ);412 50 Göteborg;238115;45
472;MAQS Advokatbyrå AB;411 09 Göteborg;237595;113
473;Sten Olofsson Olje AB;423 38 Torslanda;236419;6
474;B2 Impact AB;411 04 Göteborg;236271;72
475;Euromekanik AB;415 02 Göteborg;236264;34
476;Wangeskog Hyrcenter AB;421 31 Västra Frölunda;234654;100
477;New Balance Sweden AB;417 55 Göteborg;234517;7
478;Sigma Industry West AB;417 56 Göteborg;234150;164
479;Thomas Concrete Group AB;402 26 Göteborg;234000;27
480;Frontgrade Gaisler AB;411 19 Göteborg;233838;55
481;Schenker Property Sweden AB;412 85 Göteborg;232306;8
482;Volvo Group Real Estate AB;418 79 Göteborg;232137;103
483;Scandinavian Shipping & Logistics AB;414 51 Göteborg;231730;23
484;Dexen – Tire Movement AB;417 07 Göteborg;231712;18
485;Göteborg & Co AB;416 64 Göteborg;231650;108
486;Precis Digital Syd AB;412 51 Göteborg;231488;66
487;Byggnadsaktiebolaget Westnia;Göteborg;231430;1
488;Qualisys AB;411 05 Göteborg;230929;49
489;Mullvad VPN AB;411 37 Göteborg;230914;33
490;Creditsafe i Sverige AB;412 50 Göteborg;230744;78
491;Serneke Fastighetsstyrning AB;417 50 Göteborg;230336;37
492;RS Components AB;412 50 Göteborg;229719;9
493;Enwa Water Technology AB;422 46 Hisings Backa;229583;52
494;Terminal Real Estate Sweden AB;Göteborg;228524;4
495;Göteborg Energi Gasnät AB;Göteborg;228296;0
496;Chemetall AB;422 46 Hisings Backa;227935;21
497;Chetami AB;426 52 Västra Frölunda;227271;27
498;Alnova Balkongsystem AB;425 36 Hisings Kärra;225653;74
499;Septon Electronic AB;427 40 Billdal;225424;17
500;Nordisk Återvinning Service AB;415 02 Göteborg;225009;112
501;Litreb Brädstapeln AB;Göteborg;224938;0
502;Databricks Sweden AB;411 39 Göteborg;224765;52
503;Elbit Systems Sweden AB;412 77 Göteborg;223649;26
504;Maurten AB;411 32 Göteborg;223042;37
505;Monvir Terminals AB;418 34 Göteborg;222979;102
506;AKQA Sweden AB;417 55 Göteborg;222551;63
507;Ticketmaster Sverige AB;411 40 Göteborg;222510;44
508;Castellum Väst AB;417 55 Göteborg;222416;71
509;BR Solutions AB;425 37 Hisings Kärra;222167;94
510;Sendify AB;411 24 Göteborg;222011;40
511;Aktiebolaget Stena Finans;405 19 Göteborg;221480;9
512;Fiskeri AB Ginneton;426 58 Västra Frölunda;221474;0
513;Jovi Konsult AB;411 34 Göteborg;221207;301
514;Ted Bernhardtz At Work AB;413 30 Göteborg;221003;14
515;Prioritet Finans AB;412 83 Göteborg;220689;47
516;Bröderna Nilsson Delikatesser AB;417 05 Göteborg;219584;59
517;CEVA Logistics Mobility AB;436 33 Askim;219578;100
518;Quokka AB;411 10 Göteborg;219124;111
519;Expleo Technology Nordic AB;411 20 Göteborg;219040;142
520;Lindholmen Science Park AB;417 56 Göteborg;218660;131
521;Plushögskolan AB;416 64 Göteborg;218554;80
522;LumenRadio AB;416 64 Göteborg;218238;53
523;AB Liseberg Skår 40:17;412 54 Göteborg;218216;1
524;WisePartners AB;412 56 Göteborg;217951;2
525;Cleanosol AB;424 69 Angered;216599;67
526;Sigma Technology Information AB;417 56 Göteborg;215867;231
527;Kahls Kaffe AB;421 31 Västra Frölunda;215492;43
528;CAMPUS Pharma AB;411 25 Göteborg;215409;38
529;Capio Support AB;411 04 Göteborg;215173;105
530;Åby Alebo Energi AB;402 33 Göteborg;214620;0
531;Marieholm Salt Specialties AB;415 02 Göteborg;214354;21
532;BNP Paribas Cardif Nordic AB;412 83 Göteborg;214254;91
533;BICO Group AB;412 63 Göteborg;213000;23
534;Liba Bröd AB;415 02 Göteborg;212414;99
535;Göfast Gruppen AB;417 07 Göteborg;212009;55
536;Schakt i Väst AB;417 05 Göteborg;211583;6
537;Lembla AB;412 66 Göteborg;211237;0
538;Low Noise Factory AB;412 63 Göteborg;211210;19
539;Trafiksystem Väst AB;412 76 Göteborg;210745;59
540;Calectro AB;436 34 Askim;210477;24
541;Bike Action i Sverige AB;421 32 Västra Frölunda;210312;8
542;H. Jessen Jürgensen AB;417 05 Göteborg;210156;7
543;Sirius Crew AB;430 82 Donsö;209223;211
544;Volvo Energy AB;418 73 Göteborg;208891;50
545;Carlbergs i Göteborg AB;417 05 Göteborg;208733;33
546;SAPS Service Management AB;411 38 Göteborg;208671;128
547;S Blomquist Entreprenad AB;424 38 Agnesberg;207869;25
548;Söderleden AB;421 47 Västra Frölunda;204889;42
549;Newsec Property Asset Management AB;404 29 Göteborg;204861;37
550;WFB Stockholm Management AB;Göteborg;204440;0
551;United Count Target 2 AB;Göteborg;204171;0
552;EcoPar AB;417 05 Göteborg;203785;7
553;Foodia Global AB;412 48 Göteborg;203465;27
554;Kakeldax i Sverige AB;425 02 Hisings Kärra;203265;64
555;Elite Avenue AB;411 36 Göteborg;202582;104
556;Mentice AB;411 03 Göteborg;202562;73
557;John Crane Sverige AB;421 31 Västra Frölunda;202193;22
558;Expresscare Sweden AB;412 82 Göteborg;202123;60
559;APS Drift och Underhåll AB;417 07 Göteborg;202099;89
560;Together Tech AB;414 51 Göteborg;201277;225
561;Ekenbergs Livs AB;416 65 Göteborg;200915;33
562;Westmetall AB;422 46 Hisings Backa;198764;12
563;Würth Industri Sverige AB;422 46 Hisings Backa;197948;27
564;Ivar Kjellberg Fastighets AB;413 15 Göteborg;197000;23
565;Gunnebo AB;412 50 Göteborg;196000;27
566;Pincho Nation AB;411 19 Göteborg;195852;77
567;SATCUBE AB;412 63 Göteborg;195632;49
568;Metallbolaget i Göteborg AB;424 38 Agnesberg;195579;5
569;Hexatronic Fiberoptic AB;412 51 Göteborg;195191;33
570;Castellum Sandsjöbacka Fastighets AB;417 55 Göteborg;194593;0
571;Pipex AB;417 05 Göteborg;194112;6
572;Carrier AB;417 05 Göteborg;193095;41
573;Thermo King Sverige AB;425 37 Hisings Kärra;192789;50
574;Mercus Yrkeskläder AB;417 07 Göteborg;192450;65
575;Reimond Eklunds Bil AB;417 07 Göteborg;190131;10
576;Tremco CPG Sweden AB;411 03 Göteborg;188567;41
577;Mastervolt Sweden AB;421 32 Västra Frölunda;187549;20
578;Langley Travel AB;412 66 Göteborg;186776;40
579;Qamcom Research and Technology AB;412 85 Göteborg;186639;113
580;Dürr Systems AB;416 66 Göteborg;186343;16
581;OnePartnerGroup Väst AB;412 50 Göteborg;186157;298
582;Bygg & Konsult i Väst AB;418 78 Göteborg;185922;48
583;Nexer Enterprise Applications Holding AB;417 56 Göteborg;185502;81
584;Scandinavian Tank Storage AB;426 71 Västra Frölunda;185110;23
585;Törnskogens Fastighetsförvaltning i Solna AB;417 50 Göteborg;185000;74
586;Volvo Merchandise AB;417 55 Göteborg;184699;14
587;Svetsmaskinservice Wesslander AB;417 05 Göteborg;184357;37
588;Zinzino Sverige AB;421 32 Västra Frölunda;184222;150
589;Hung Fat Trading Asien Livs AB;422 59 Hisings Backa;182771;3
590;Travel Service i Göteborg AB;411 36 Göteborg;182318;20
591;Modern Elteknik AB;417 05 Göteborg;182225;31
592;Carasent Sverige AB;412 63 Göteborg;182115;97
593;Elektro-Centralen Entreprenad Hisings Backa AB;422 46 Hisings Backa;181900;111
594;Triathlon AB;414 51 Göteborg;180977;105
595;Byggnadsfirman O.A. Tobiason AB;422 59 Hisings Backa;180858;59
